;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n31;n32;n33;n35;n36;n37
ENSG00000000003;544;863;1150;801;241;689;406;669;0;0;0;0;587;612;746;1131;347;686;318;596;0;0;0;0;0;0;0;1;899;791;1082;948
ENSG00000000005;1;1;4;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ENSG00000000419;572;1148;1411;978;308;1236;757;962;638;508;375;485;932;898;1203;1774;555;1083;561;972;93;490;550;670;383;329;344;399;723;699;1178;957
ENSG00000000457;180;511;668;421;222;623;290;509;271;238;131;214;224;276;349;464;270;526;235;516;51;237;216;286;175;235;255;203;277;418;498;381
ENSG00000000460;67;187;249;154;62;166;88;134;78;81;38;50;98;88;108;160;77;157;78;141;16;42;61;72;32;50;46;40;47;37;84;48
ENSG00000000938;4;28;10;7;622;2003;1062;1391;6050;4675;2758;5040;10;7;11;23;1036;1810;966;2028;812;4499;4794;4648;9738;14650;16724;15102;2;1500;2440;1873
ENSG00000000971;1914;5034;6204;4157;1305;3998;1984;3809;5;2;0;2;2848;3004;4055;5739;2023;3368;1822;3151;0;0;0;0;2;1;5;4;2967;3174;3840;2906
ENSG00000001036;1406;3071;3810;2422;798;2416;1303;2325;599;529;274;400;2034;1825;2421;3510;1301;2201;1000;2198;92;377;380;445;503;529;435;377;2092;2234;2857;2229
ENSG00000001084;177;531;677;421;197;650;340;507;907;694;284;640;521;593;728;1160;335;542;312;562;114;534;468;581;315;560;407;328;298;329;522;352
ENSG00000001167;405;1558;1856;1158;598;1919;963;1433;759;650;315;715;862;835;1199;1725;915;1697;858;1667;102;727;712;814;598;951;1219;1134;826;1272;1736;1332
ENSG00000001460;112;347;421;276;82;218;130;187;34;30;8;43;181;160;204;323;136;204;72;190;3;21;26;27;4;9;8;10;100;99;159;86
ENSG00000001461;523;2126;2512;1630;494;1248;634;1285;73;56;28;77;1274;1014;1437;2142;691;1103;526;1227;9;27;56;67;50;83;69;34;493;388;627;443
ENSG00000001497;398;996;1158;775;240;732;406;663;96;77;38;57;566;526;748;1085;380;669;308;652;9;63;58;60;101;193;219;191;292;400;515;303
ENSG00000001561;23;64;83;40;19;53;24;62;24;24;9;22;31;36;40;62;19;44;32;33;4;25;32;37;30;11;27;28;6;13;14;4
ENSG00000001617;881;2559;3064;1989;866;2186;1258;2412;77;46;43;101;1831;1790;2455;3421;1373;1914;1031;2386;6;113;61;87;69;229;260;162;1626;2371;3106;2539
ENSG00000001626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000001629;826;3370;4059;2684;804;2490;1318;2404;366;328;175;373;1659;1849;2478;3578;1393;2247;1227;2288;47;366;366;435;355;887;1060;921;1438;1629;2190;1578
ENSG00000001630;50;182;155;126;43;106;43;139;30;29;12;15;196;145;166;270;73;99;59;106;1;9;21;18;19;25;26;20;70;75;91;57
ENSG00000001631;93;202;233;169;39;141;101;147;10;12;3;18;77;88;147;181;82;137;65;119;1;12;10;11;27;65;75;60;56;106;91;79
ENSG00000002016;87;265;350;184;70;191;115;156;2;6;0;9;98;118;163;247;112;176;77;172;3;1;1;8;8;82;71;54;64;65;93;63
ENSG00000002079;0;4;2;4;1;9;6;1;0;0;0;0;0;0;1;0;14;12;1;6;1;4;0;0;0;2;9;9;1;2;10;5
ENSG00000002330;989;1599;1722;1140;426;1065;742;1214;672;670;390;676;1011;1030;1127;1589;658;1149;588;1176;109;457;540;682;233;246;166;170;779;838;1252;1015
ENSG00000002549;990;2236;2925;1850;690;2290;1261;1948;1294;1150;627;1459;1789;1765;2406;3336;1318;2473;2016;2375;444;3103;3430;3002;2554;2389;9180;10448;829;1125;2313;1645
ENSG00000002586;15793;24371;30229;20825;7172;19980;12323;21265;7220;6411;3814;7276;17086;16206;20529;28820;11000;19299;9488;19542;966;5165;5667;6010;4787;5031;4949;4478;18365;18958;24919;20326
ENSG00000002587;35;81;82;58;26;46;33;66;14;16;6;23;54;40;49;83;24;42;8;63;6;9;11;21;378;381;1059;1341;40;69;59;26
ENSG00000002726;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;2;5;6;0;1;4;2
ENSG00000002745;31;68;104;81;21;41;25;48;0;0;0;0;190;150;222;268;22;34;12;33;0;0;0;0;0;0;0;0;196;174;217;154
ENSG00000002746;7;47;46;25;10;36;12;28;0;0;0;0;10;21;19;27;20;27;13;30;0;0;0;0;0;0;0;0;23;14;43;16
ENSG00000002822;5;9;8;11;8;43;21;32;121;113;61;137;7;9;11;7;11;23;18;38;21;134;97;106;35;51;30;23;16;18;28;35
ENSG00000002834;4424;13420;15710;10276;4144;12056;6740;11643;8306;6001;3618;7905;5951;5933;7715;10548;6524;10351;5228;11341;1170;8030;6612;6859;7561;12706;11159;9934;4658;5953;8364;6051
ENSG00000002919;283;497;604;421;243;689;433;645;1067;1122;706;1115;330;314;436;558;377;739;335;732;228;773;1101;1309;729;545;540;458;251;468;623;507
ENSG00000002933;10;15;33;10;181;572;375;476;1123;1104;607;1315;18;17;27;45;371;565;336;766;194;1165;1242;1309;1317;2109;1825;1668;10;271;483;455
ENSG00000003056;602;1964;2385;1459;1244;4436;2271;3218;6015;5062;2829;5374;1398;1399;1817;2427;2035;3546;1799;3667;917;4237;5116;5423;5517;4981;4865;4799;1073;2049;2862;2313
ENSG00000003096;275;1011;1408;780;309;945;501;902;11;17;5;10;1137;1122;1512;2142;413;842;468;855;2;4;5;6;3;5;3;6;405;501;708;416
ENSG00000003137;553;1436;1635;1288;289;657;360;929;2;0;0;0;374;412;549;862;420;549;224;634;0;0;0;1;0;0;0;1;435;675;614;497
ENSG00000003147;32;70;58;51;22;39;35;48;27;12;18;18;32;26;46;71;23;31;22;50;7;30;39;32;32;54;37;48;22;23;42;29
ENSG00000003249;224;758;973;563;197;485;311;589;0;0;0;0;681;768;1012;1548;264;463;222;572;0;0;0;0;0;0;1;0;1193;1278;1704;1323
ENSG00000003393;200;607;750;513;160;522;214;455;51;63;33;85;303;297;427;591;267;465;233;428;8;69;80;46;122;275;282;196;328;344;515;341
ENSG00000003400;1;4;1;0;76;254;143;178;224;165;104;211;3;1;2;1;115;209;174;272;39;344;402;318;317;672;1473;1369;0;83;211;116
